"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"473",13,"Ross Dwelley",SF,"TE69","6","4 out of 5 stars","-"
"474",13,"Braxton Berrios",NYJ,"WR161","6","4 out of 5 stars","-"
"475",13,"Cameron Batson",TEN,"WR162","13","3 out of 5 stars","-"
"476",13,"Zay Jones",LV,"WR163","8","1 out of 5 stars","-36"
"477",13,"J.J. Arcega-Whiteside",PHI,"WR164","14","3 out of 5 stars","-"
"478",13,"Pharaoh Brown",HOU,"TE70","10","4 out of 5 stars","-"
"479",13,"C.J. Ham",MIN,"RB126","7","3 out of 5 stars","-"
"480",13,"Tre' McKitty",LAC,"TE71","7","3 out of 5 stars","-"
"481",13,"Kenny Stills",BUF,"WR165","7","3 out of 5 stars","-"
"482",13,"Darrell Daniels",ARI,"TE72","12","2 out of 5 stars","-"
"483",13,"Mike Strachan",IND,"WR166","14","5 out of 5 stars","-71"
"484",13,"Richie James Jr.",SF,"WR167","6","5 out of 5 stars","-"
"485",13,"Patrick Ricard",BAL,"RB127","8","4 out of 5 stars","-"
"486",13,"Richard Rodgers",FA,"TE73","-","-","-"
"487",13,"Alec Ingold",LV,"RB128","8","2 out of 5 stars","-"
"488",13,"Mekhi Sargent",TEN,"RB129","13","3 out of 5 stars","-"
"489",13,"Jakeem Grant Sr.",MIA,"WR168","14","3 out of 5 stars","-"
"490",13,"Shi Smith",CAR,"WR169","13","5 out of 5 stars","-93"
"491",13,"Ameer Abdullah",MIN,"RB130","7","3 out of 5 stars","-128"
"492",13,"Andre Roberts",HOU,"WR170","10","3 out of 5 stars","-"
"493",13,"Trey Burton",FA,"TE74","-","-","-"
"494",13,"Chris Manhertz",JAC,"TE75","7","4 out of 5 stars","-"
"495",13,"K.J. Osborn",MIN,"WR171","7","3 out of 5 stars","-"
"496",13,"Christian Blake",ATL,"WR172","6","4 out of 5 stars","-"
"497",13,"D'Onta Foreman",FA,"RB131","-","-","-140"
"498",13,"Durham Smythe",MIA,"TE76","14","4 out of 5 stars","-"
"499",13,"Blake Bell",KC,"TE77","12","3 out of 5 stars","-"
"500",13,"Adam Shaheen",MIA,"TE78","14","4 out of 5 stars","-"
