"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"64",5,"Raheem Mostert",SF,"RB29","6","3 out of 5 stars","0"
"65",5,"Chase Claypool",PIT,"WR25","7","2 out of 5 stars","+2"
"66",5,"Russell Wilson",SEA,"QB6","9","0 out of 5 stars","-8"
"67",5,"Odell Beckham Jr.",CLE,"WR26","13","1 out of 5 stars","+1"
"68",5,"Jerry Jeudy",DEN,"WR27","11","4 out of 5 stars","+5"
"69",5,"Aaron Rodgers",GB,"QB7","13","2 out of 5 stars","-9"
"70",5,"Trey Sermon",SF,"RB30","6","3 out of 5 stars","+6"
"71",5,"Kenny Golladay",NYG,"WR28","10","3 out of 5 stars","0"
"72",5,"Melvin Gordon III",DEN,"RB31","11","5 out of 5 stars","+3"
"73",5,"Justin Herbert",LAC,"QB8","7","2 out of 5 stars","-12"
"74",5,"Ja'Marr Chase",CIN,"WR29","10","2 out of 5 stars","-5"
"75",5,"Ronald Jones II",TB,"RB32","9","0 out of 5 stars","-3"
"76",5,"Robby Anderson",CAR,"WR30","13","5 out of 5 stars","+2"
"77",5,"Courtland Sutton",DEN,"WR31","11","4 out of 5 stars","+5"
"78",5,"JuJu Smith-Schuster",PIT,"WR32","7","2 out of 5 stars","+2"
"79",6,"Tyler Boyd",CIN,"WR33","10","2 out of 5 stars","+11"
"80",6,"Noah Fant",DEN,"TE7","11","4 out of 5 stars","+1"
"81",6,"Logan Thomas",WAS,"TE8","9","3 out of 5 stars","-4"
"82",6,"James Conner",ARI,"RB33","12","3 out of 5 stars","+14"
"83",6,"Michael Carter",NYJ,"RB34","6","4 out of 5 stars","+3"
"84",6,"Ryan Tannehill",TEN,"QB9","13","2 out of 5 stars","+13"
"85",6,"Zack Moss",BUF,"RB35","7","3 out of 5 stars","+10"
"86",6,"Deebo Samuel",SF,"WR34","6","5 out of 5 stars","-3"
"87",6,"Tom Brady",TB,"QB10","9","2 out of 5 stars","-17"
"88",6,"Brandin Cooks",HOU,"WR35","10","3 out of 5 stars","+12"
"89",6,"Jalen Hurts",PHI,"QB11","14","4 out of 5 stars","-1"
"90",6,"Leonard Fournette",TB,"RB36","9","0 out of 5 stars","-6"
"91",6,"Corey Davis",NYJ,"WR36","6","4 out of 5 stars","+13"
"92",6,"Matthew Stafford",LAR,"QB12","11","4 out of 5 stars","-5"
"93",6,"AJ Dillon",GB,"RB37","13","0 out of 5 stars","0"
"94",6,"Robert Tonyan",GB,"TE9","13","3 out of 5 stars","-3"
"95",6,"Kenyan Drake",LV,"RB38","8","2 out of 5 stars","+11"
"96",6,"Dallas Goedert",PHI,"TE10","14","3 out of 5 stars","-4"
"97",6,"Antonio Brown",TB,"WR37","9","2 out of 5 stars","-8"
"98",6,"Jamaal Williams",DET,"RB39","9","0 out of 5 stars","+15"
"99",6,"Will Fuller V",MIA,"WR38","14","3 out of 5 stars","+12"
"100",6,"D.J. Chark Jr.",JAC,"WR39","7","5 out of 5 stars","-6"
"101",6,"DeVonta Smith",PHI,"WR40","14","3 out of 5 stars","-16"
"102",6,"Tyler Higbee",LAR,"TE11","11","2 out of 5 stars","-4"
"103",6,"Laviska Shenault Jr.",JAC,"WR41","7","5 out of 5 stars","-2"
"104",6,"Devin Singletary",BUF,"RB40","7","3 out of 5 stars","+5"
"105",6,"Mike Gesicki",MIA,"TE12","14","4 out of 5 stars","+9"
"106",6,"Nyheim Hines",IND,"RB41","14","4 out of 5 stars","+25"
"107",6,"Jarvis Landry",CLE,"WR42","13","1 out of 5 stars","0"
"108",6,"Tony Pollard",DAL,"RB42","7","2 out of 5 stars","+16"
"109",6,"Mike Williams",LAC,"WR43","7","3 out of 5 stars","+10"
"110",6,"Curtis Samuel",WAS,"WR44","9","3 out of 5 stars","+11"
"111",6,"David Johnson",HOU,"RB43","10","4 out of 5 stars","-6"
"112",6,"Joe Burrow",CIN,"QB13","10","2 out of 5 stars","-2"
"113",6,"Jonnu Smith",NE,"TE13","14","5 out of 5 stars","+30"
"114",7,"Michael Gallup",DAL,"WR45","7","1 out of 5 stars","+8"
"115",7,"Marvin Jones Jr.",JAC,"WR46","7","5 out of 5 stars","+21"
"116",7,"Michael Pittman Jr.",IND,"WR47","14","5 out of 5 stars","+4"
"117",7,"Phillip Lindsay",HOU,"RB44","10","4 out of 5 stars","+29"
"118",7,"James White",NE,"RB45","14","3 out of 5 stars","+41"
"119",7,"Jaylen Waddle",MIA,"WR48","14","3 out of 5 stars","-4"
"120",7,"Marquez Callaway",NO,"WR49","6","4 out of 5 stars","+3"
"121",7,"Darnell Mooney",CHI,"WR50","10","3 out of 5 stars","+9"
"122",7,"Matt Ryan",ATL,"QB14","6","3 out of 5 stars","+15"
"123",7,"Sony Michel",LAR,"RB46","11","4 out of 5 stars","+3"
"124",7,"Michael Thomas",NO,"WR51","6","4 out of 5 stars","-50"
"125",7,"Trevor Lawrence",JAC,"QB15","7","4 out of 5 stars","+2"
"126",7,"Evan Engram",NYG,"TE14","10","3 out of 5 stars","+41"
"127",7,"Rob Gronkowski",TB,"TE15","9","3 out of 5 stars","-15"
"128",7,"DeVante Parker",MIA,"WR52","14","3 out of 5 stars","+27"
"129",7,"J.D. McKissic",WAS,"RB47","9","3 out of 5 stars","+20"
"130",7,"Marquise Brown",BAL,"WR53","8","2 out of 5 stars","+4"
"131",7,"Hunter Henry",NE,"TE16","14","5 out of 5 stars","+22"
"132",7,"Alexander Mattison",MIN,"RB48","7","3 out of 5 stars","+8"
"133",7,"Kirk Cousins",MIN,"QB16","7","3 out of 5 stars","+19"
"134",7,"Gerald Everett",SEA,"TE17","9","1 out of 5 stars","+42"
"135",7,"Giovani Bernard",TB,"RB49","9","0 out of 5 stars","+30"
"136",7,"Tua Tagovailoa",MIA,"QB17","14","4 out of 5 stars","+32"
"137",7,"Jared Cook",LAC,"TE18","7","3 out of 5 stars","+34"
"138",7,"Cole Kmet",CHI,"TE19","10","1 out of 5 stars","+84"
"139",7,"Russell Gage",ATL,"WR54","6","4 out of 5 stars","+8"
"140",7,"Elijah Moore",NYJ,"WR55","6","4 out of 5 stars","+4"
"141",7,"Mecole Hardman",KC,"WR56","12","3 out of 5 stars","-13"
"142",7,"Henry Ruggs III",LV,"WR57","8","1 out of 5 stars","-10"
"143",7,"Jakobi Meyers",NE,"WR58","14","4 out of 5 stars","+11"
"144",7,"Austin Hooper",CLE,"TE20","13","2 out of 5 stars","+70"
"145",7,"Baker Mayfield",CLE,"QB18","13","3 out of 5 stars","-10"
"146",7,"Tevin Coleman",NYJ,"RB50","6","4 out of 5 stars","+12"
"147",7,"Cole Beasley",BUF,"WR59","7","3 out of 5 stars","-5"
"148",7,"Blake Jarwin",DAL,"TE21","7","2 out of 5 stars","+65"
"149",8,"Latavius Murray",NO,"RB51","6","2 out of 5 stars","-11"
"150",8,"Sterling Shepard",NYG,"WR60","10","3 out of 5 stars","+47"
"151",8,"Ryan Fitzpatrick",WAS,"QB19","9","4 out of 5 stars","+32"
"152",8,"Nelson Agholor",NE,"WR61","14","4 out of 5 stars","+20"
"153",8,"Ben Roethlisberger",PIT,"QB20","7","4 out of 5 stars","+10"
"154",8,"Justin Fields",CHI,"QB21","10","2 out of 5 stars","-15"
"155",8,"Zach Ertz",PHI,"TE22","14","3 out of 5 stars","-4"
"156",8,"Rashaad Penny",SEA,"RB52","9","1 out of 5 stars","+10"
"157",8,"Jalen Reagor",PHI,"WR62","14","3 out of 5 stars","+36"
"158",8,"Gabriel Davis",BUF,"WR63","7","3 out of 5 stars","+50"
"159",8,"Anthony Firkser",TEN,"TE23","13","2 out of 5 stars","+66"
"160",8,"Tre'Quan Smith",NO,"WR64","6","4 out of 5 stars","+49"
"161",8,"Derek Carr",LV,"QB22","8","3 out of 5 stars","+37"
"162",8,"Emmanuel Sanders",BUF,"WR65","7","3 out of 5 stars","+18"
"163",8,"Rondale Moore",ARI,"WR66","12","2 out of 5 stars","+26"
"164",8,"Bryan Edwards",LV,"WR67","8","1 out of 5 stars","+32"
"165",8,"Jamison Crowder",NYJ,"WR68","6","4 out of 5 stars","+35"
"166",8,"Jameis Winston",NO,"QB23","6","3 out of 5 stars","+8"
"167",8,"Adam Trautman",NO,"TE24","6","4 out of 5 stars","+18"
"168",8,"Rashod Bateman",BAL,"WR69","8","2 out of 5 stars","+35"
"169",8,"Trey Lance",SF,"QB24","6","5 out of 5 stars","-28"
"170",8,"Daniel Jones",NYG,"QB25","10","4 out of 5 stars","+48"
"171",8,"Parris Campbell",IND,"WR70","14","5 out of 5 stars","+83"
"172",8,"Terrace Marshall Jr.",CAR,"WR71","13","5 out of 5 stars","+18"
"173",8,"Los Angeles Rams",LAR,"DST1","11","3 out of 5 stars","-74"
"174",8,"Eric Ebron",PIT,"TE25","7","5 out of 5 stars","+52"
"175",8,"Pittsburgh Steelers",PIT,"DST2","7","2 out of 5 stars","-72"
"176",8,"Carson Wentz",IND,"QB26","14","4 out of 5 stars","+56"
"177",8,"Christian Kirk",ARI,"WR72","12","2 out of 5 stars","+51"
"178",8,"Baltimore Ravens",BAL,"DST3","8","2 out of 5 stars","-62"
"179",8,"Darrel Williams",KC,"RB53","12","4 out of 5 stars","+9"
"180",8,"Washington Football Team",WAS,"DST4","9","2 out of 5 stars","-72"
"181",8,"Sam Darnold",CAR,"QB27","13","4 out of 5 stars","+48"
"182",8,"Zach Wilson",NYJ,"QB28","6","3 out of 5 stars","+2"
"183",8,"Malcolm Brown",MIA,"RB54","14","4 out of 5 stars","+33"
"184",8,"Rhamondre Stevenson",NE,"RB55","14","3 out of 5 stars","-23"
"185",8,"Kenneth Gainwell",PHI,"RB56","14","3 out of 5 stars","+9"
"186",8,"San Francisco 49ers",SF,"DST5","6","3 out of 5 stars","-61"
"187",8,"Carlos Hyde",JAC,"RB57","7","4 out of 5 stars","+63"
"188",8,"Justin Tucker",BAL,"K1","8","4 out of 5 stars","-71"
"189",8,"Tampa Bay Buccaneers",TB,"DST6","9","5 out of 5 stars","-87"
"190",8,"T.Y. Hilton",IND,"WR73","14","5 out of 5 stars","+9"
"191",8,"Amon-Ra St. Brown",DET,"WR74","9","1 out of 5 stars","+10"
"192",8,"A.J. Green",ARI,"WR75","12","2 out of 5 stars","-17"
"193",9,"Harrison Butker",KC,"K2","12","2 out of 5 stars","-75"
"194",9,"Darius Slayton",NYG,"WR76","10","3 out of 5 stars","+79"
"195",9,"Indianapolis Colts",IND,"DST7","14","2 out of 5 stars","-39"
"196",9,"Tyrell Williams",DET,"WR77","9","1 out of 5 stars","-10"
"197",9,"Younghoe Koo",ATL,"K3","6","3 out of 5 stars","-68"
"198",9,"Salvon Ahmed",MIA,"RB58","14","4 out of 5 stars","+23"
"199",9,"Damien Williams",CHI,"RB59","10","3 out of 5 stars","+7"
"200",9,"New England Patriots",NE,"DST8","14","0 out of 5 stars","-31"
"201",9,"Marquez Valdes-Scantling",GB,"WR78","13","1 out of 5 stars","+34"
"202",9,"Greg Zuerlein",DAL,"K4","7","4 out of 5 stars","-52"
"203",9,"Randall Cobb",GB,"WR79","13","1 out of 5 stars","-26"
"204",9,"Buffalo Bills",BUF,"DST9","7","3 out of 5 stars","-56"
"205",9,"Tarik Cohen",CHI,"RB60","10","3 out of 5 stars","-1"
"206",9,"Marlon Mack",IND,"RB61","14","4 out of 5 stars","-27"
"207",9,"Allen Lazard",GB,"WR80","13","1 out of 5 stars","+46"
"208",9,"Sammy Watkins",BAL,"WR81","8","2 out of 5 stars","+15"
"209",9,"Kansas City Chiefs",KC,"DST10","12","1 out of 5 stars","-28"
"210",9,"Jason Sanders",MIA,"K5","14","4 out of 5 stars","-65"
"211",9,"Chuba Hubbard",CAR,"RB62","13","2 out of 5 stars","-54"
"212",9,"New Orleans Saints",NO,"DST11","6","3 out of 5 stars","+37"
"213",9,"Jared Goff",DET,"QB29","9","1 out of 5 stars","+21"
"214",9,"Ty Johnson",NYJ,"RB63","6","4 out of 5 stars","-2"
"215",9,"Denver Broncos",DEN,"DST12","11","2 out of 5 stars","-55"
"216",9,"Cleveland Browns",CLE,"DST13","13","3 out of 5 stars","-38"
"217",9,"Justin Jackson",LAC,"RB64","7","4 out of 5 stars","+46"
"218",9,"Rodrigo Blankenship",IND,"K6","14","3 out of 5 stars","-54"
"219",9,"Miami Dolphins",MIA,"DST14","14","2 out of 5 stars","-24"
"220",9,"Boston Scott",PHI,"RB65","14","3 out of 5 stars","+31"
"221",9,"Hayden Hurst",ATL,"TE26","6","2 out of 5 stars","+22"
"222",9,"Darrynton Evans",TEN,"RB66","13","3 out of 5 stars","+2"
"223",9,"Mark Ingram II",HOU,"RB67","10","4 out of 5 stars","-36"
"224",9,"Matt Prater",ARI,"K7","12","4 out of 5 stars","-22"
"225",9,"KJ Hamler",DEN,"WR82","11","4 out of 5 stars","+60"
"226",9,"Tyler Bass",BUF,"K8","7","3 out of 5 stars","-93"
"227",9,"Los Angeles Chargers",LAC,"DST15","7","4 out of 5 stars","+49"
"228",9,"Chicago Bears",CHI,"DST16","10","2 out of 5 stars","+2"
"229",9,"Dawson Knox",BUF,"TE27","7","2 out of 5 stars","+15"
"230",9,"Ryan Succop",TB,"K9","9","2 out of 5 stars","-60"
"231",9,"Robbie Gould",SF,"K10","6","4 out of 5 stars","-39"
"232",9,"Jason Myers",SEA,"K11","9","4 out of 5 stars","-21"
"233",9,"Joshua Kelley",LAC,"RB68","7","4 out of 5 stars","+60"
"234",9,"Teddy Bridgewater",DEN,"QB30","11","5 out of 5 stars","+2"
"235",9,"Green Bay Packers",GB,"DST17","13","5 out of 5 stars","+2"
"236",9,"Hunter Renfrow",LV,"WR83","8","1 out of 5 stars","+101"
"237",9,"Van Jefferson",LAR,"WR84","11","5 out of 5 stars","+51"
"238",9,"O.J. Howard",TB,"TE28","9","3 out of 5 stars","+22"
"239",9,"Seattle Seahawks",SEA,"DST18","9","4 out of 5 stars","-8"
"240",9,"Mason Crosby",GB,"K12","13","0 out of 5 stars","-49"
"241",9,"Josh Reynolds",TEN,"WR85","13","3 out of 5 stars","+113"
"242",9,"DeSean Jackson",LAR,"WR86","11","5 out of 5 stars","+78"
"243",9,"Tim Patrick",DEN,"WR87","11","4 out of 5 stars","+109"
"244",9,"Minnesota Vikings",MIN,"DST19","7","3 out of 5 stars","+4"
"245",9,"John Brown",FA,"WR88","-","-","-4"
"246",10,"Dan Arnold",CAR,"TE29","13","4 out of 5 stars","+44"
"247",10,"Daniel Carlson",LV,"K13","8","2 out of 5 stars","-27"
"248",10,"Brandon McManus",DEN,"K14","11","1 out of 5 stars","-21"
"249",10,"Devontae Booker",NYG,"RB69","10","2 out of 5 stars","-44"
"250",10,"Jerick McKinnon",KC,"RB70","12","4 out of 5 stars","-8"
"251",10,"Chris Herndon IV",MIN,"TE30","7","2 out of 5 stars","+62"
"252",10,"Mac Jones",NE,"QB31","14","5 out of 5 stars","-90"
"253",10,"Denzel Mims",NYJ,"WR89","6","4 out of 5 stars","+48"
"254",10,"Nico Collins",HOU,"WR90","10","3 out of 5 stars","-2"
"255",10,"Philadelphia Eagles",PHI,"DST20","14","4 out of 5 stars","+24"
"256",10,"Kadarius Toney",NYG,"WR91","10","3 out of 5 stars","-10"
"257",10,"Chris Boswell",PIT,"K15","7","2 out of 5 stars","+5"
"258",10,"Jake Elliott",PHI,"K16","14","4 out of 5 stars","+115"
"259",10,"Anthony Miller",HOU,"WR92","10","3 out of 5 stars","+88"
"260",10,"Wil Lutz",NO,"K17","6","4 out of 5 stars","-53"
"261",10,"Tennessee Titans",TEN,"DST21","13","3 out of 5 stars","-44"
"262",10,"Benny Snell Jr.",PIT,"RB71","7","5 out of 5 stars","+8"
"263",10,"Arizona Cardinals",ARI,"DST22","12","3 out of 5 stars","-8"
"264",10,"Dustin Hopkins",WAS,"K18","9","2 out of 5 stars","+13"
"265",10,"Samaje Perine",CIN,"RB72","10","3 out of 5 stars","+74"
"266",10,"James Washington",PIT,"WR93","7","2 out of 5 stars","+123"
"267",10,"New York Giants",NYG,"DST23","10","4 out of 5 stars","+4"
"268",10,"Amari Rodgers",GB,"WR94","13","1 out of 5 stars","+15"
"269",10,"Quintez Cephus",DET,"WR95","9","1 out of 5 stars","+76"
"270",10,"Breshad Perriman",CHI,"WR96","10","3 out of 5 stars","+5"
"271",10,"Jimmy Garoppolo",SF,"QB32","6","5 out of 5 stars","+69"
"272",10,"Wayne Gallman Jr.",ATL,"RB73","6","2 out of 5 stars","+57"
"273",10,"Josh Lambo",JAC,"K19","7","5 out of 5 stars","+105"
"274",10,"Jack Doyle",IND,"TE31","14","4 out of 5 stars","+131"
"275",10,"Taysom Hill",NO,"QB33","6","3 out of 5 stars","-65"
"276",10,"Zach Pascal",IND,"WR97","14","5 out of 5 stars","+96"
"277",10,"Matt Gay",LAR,"K20","11","5 out of 5 stars","-37"
"278",10,"Matt Breida",BUF,"RB74","7","3 out of 5 stars","+108"
"279",10,"New York Jets",NYJ,"DST24","6","4 out of 5 stars","+91"
"280",10,"Jimmy Graham",CHI,"TE32","10","1 out of 5 stars","+7"
"281",10,"Justice Hill",BAL,"RB75","8","4 out of 5 stars","+5"
"282",10,"Jeff Wilson Jr.",SF,"RB76","6","3 out of 5 stars","0"
"283",10,"Rashard Higgins",CLE,"WR98","13","1 out of 5 stars","+77"
"284",10,"Donovan Peoples-Jones",CLE,"WR99","13","1 out of 5 stars","-25"
"285",10,"Michael Badgley",FA,"K21","-","-","-4"
"286",10,"Anthony McFarland Jr.",PIT,"RB77","7","5 out of 5 stars","-22"
"287",10,"Dallas Cowboys",DAL,"DST25","7","5 out of 5 stars","-40"
"288",10,"La'Mical Perine",NYJ,"RB78","6","4 out of 5 stars","+1"
"289",10,"Dyami Brown",WAS,"WR100","9","3 out of 5 stars","+75"
"290",10,"Ka'imi Fairbairn",HOU,"K22","10","3 out of 5 stars","+77"
"291",10,"Kendrick Bourne",NE,"WR101","14","4 out of 5 stars","+89"
"292",10,"Preston Williams",MIA,"WR102","14","3 out of 5 stars","+102"
"293",10,"Jacksonville Jaguars",JAC,"DST26","7","2 out of 5 stars","+81"
"294",10,"Keelan Cole Sr.",NYJ,"WR103","6","4 out of 5 stars","+88"
"295",10,"Tyrod Taylor",HOU,"QB34","10","4 out of 5 stars","+16"
"296",10,"Ty'Son Williams",BAL,"RB79","8","4 out of 5 stars","-57"
"297",10,"D'Wayne Eskridge",SEA,"WR104","9","1 out of 5 stars","+52"
"298",10,"Dalton Schultz",DAL,"TE33","7","2 out of 5 stars","+43"
"299",10,"N'Keal Harry",NE,"WR105","14","4 out of 5 stars","+93"
"300",10,"Graham Gano",NYG,"K23","10","2 out of 5 stars","+58"
"301",10,"Pat Freiermuth",PIT,"TE34","7","5 out of 5 stars","-128"
"302",10,"Carolina Panthers",CAR,"DST27","13","4 out of 5 stars","-45"
"303",10,"Atlanta Falcons",ATL,"DST28","6","5 out of 5 stars","+68"
"304",10,"Joey Slye",FA,"K24","-","-","-26"
"305",10,"Drew Lock",DEN,"QB35","11","5 out of 5 stars","+9"
"306",11,"Josh Palmer",LAC,"WR106","7","3 out of 5 stars","-41"
"307",11,"DeeJay Dallas",SEA,"RB80","9","1 out of 5 stars","+131"
"308",11,"Ke'Shawn Vaughn",TB,"RB81","9","0 out of 5 stars","+35"
"309",11,"Keke Coutee",IND,"WR107","14","5 out of 5 stars","+16"
"310",11,"Scotty Miller",TB,"WR108","9","2 out of 5 stars","+12"
"311",11,"Deshaun Watson",HOU,"QB36","10","4 out of 5 stars","-129"
"312",11,"Kyle Rudolph",NYG,"TE35","10","3 out of 5 stars","+151"
"313",11,"Tony Jones Jr.",NO,"RB82","6","2 out of 5 stars","-98"
"314",11,"Andy Dalton",CHI,"QB37","10","2 out of 5 stars","+36"
"315",11,"Mo Alie-Cox",IND,"TE36","14","4 out of 5 stars","+15"
"316",11,"Tyler Conklin",MIN,"TE37","7","2 out of 5 stars","+135"
"317",11,"Demarcus Robinson",KC,"WR109","12","3 out of 5 stars","+1"
"318",11,"Jalen Richard",LV,"RB83","8","2 out of 5 stars","+15"
"319",11,"Tyron Johnson",JAC,"WR110","7","5 out of 5 stars","+88"
"320",11,"Cam Newton",FA,"QB38","-","-","-101"
"321",11,"Rex Burkhead",HOU,"RB84","10","4 out of 5 stars","+144"
"322",11,"Cairo Santos",CHI,"K25","10","2 out of 5 stars","+37"
"323",11,"Byron Pringle",KC,"WR111","12","3 out of 5 stars","-32"
"324",11,"Jordan Akins",HOU,"TE38","10","4 out of 5 stars","-66"
"325",11,"Kalen Ballage",PIT,"RB85","7","5 out of 5 stars","+26"
"326",11,"Travis Fulgham",PHI,"WR112","14","3 out of 5 stars","+10"
"327",11,"Austin Seibert",DET,"K26","9","5 out of 5 stars","-"
"328",11,"Donald Parham Jr.",LAC,"TE39","7","3 out of 5 stars","+56"
"329",11,"Qadree Ollison",FA,"RB86","-","-","-29"
"330",11,"Quez Watkins",PHI,"WR113","14","3 out of 5 stars","+2"
"331",11,"Eno Benjamin",ARI,"RB87","12","3 out of 5 stars","-3"
"332",11,"Olamide Zaccheaus",ATL,"WR114","6","4 out of 5 stars","+3"
"333",11,"Larry Rountree III",LAC,"RB88","7","4 out of 5 stars","+5"
"334",11,"Andy Isabella",ARI,"WR115","12","2 out of 5 stars","+107"
"335",11,"Will Dissly",SEA,"TE40","9","1 out of 5 stars","+94"
"336",11,"C.J. Uzomah",CIN,"TE41","10","2 out of 5 stars","+25"
"337",11,"Greg Ward",PHI,"WR116","14","3 out of 5 stars","+84"
"338",11,"Stephen Gostkowski",FA,"K27","-","-","-"
"339",11,"Jermar Jefferson",DET,"RB89","9","0 out of 5 stars","+96"
"340",11,"Javian Hawkins",TEN,"RB90","13","3 out of 5 stars","-66"
"341",11,"Jordan Wilkins",IND,"RB91","14","4 out of 5 stars","-"
"342",11,"Jordan Howard",PHI,"RB92","14","3 out of 5 stars","-"
"343",11,"Miles Boykin",BAL,"WR117","8","2 out of 5 stars","-"
"344",11,"David Njoku",CLE,"TE42","13","2 out of 5 stars","+60"
"345",11,"Ian Thomas",CAR,"TE43","13","4 out of 5 stars","-"
"346",11,"Adam Humphries",WAS,"WR118","9","3 out of 5 stars","-4"
"347",11,"Kerryon Johnson",FA,"RB93","-","-","+8"
"348",11,"Harrison Bryant",CLE,"TE44","13","2 out of 5 stars","+123"
"349",11,"Jalen Guyton",LAC,"WR119","7","3 out of 5 stars","+46"
"350",11,"Xavier Jones",FA,"RB94","-","-","-117"
"351",11,"Zane Gonzalez",DET,"K28","9","5 out of 5 stars","-"
"352",11,"Tyler Kroft",NYJ,"TE45","6","3 out of 5 stars","-8"
"353",11,"Cody Parkey",CLE,"K29","13","2 out of 5 stars","+13"
"354",11,"Jaret Patterson",WAS,"RB95","9","3 out of 5 stars","-74"
"355",11,"Jake Funk",LAR,"RB96","11","4 out of 5 stars","-71"
"356",11,"Elijah Mitchell",SF,"RB97","6","3 out of 5 stars","-84"
"357",11,"Cordarrelle Patterson",ATL,"WR120","6","4 out of 5 stars","-96"
"358",11,"Deonte Harris",NO,"WR121","6","4 out of 5 stars","-2"
"359",11,"John Ross",NYG,"WR122","10","3 out of 5 stars","-"
"360",11,"Tutu Atwell",LAR,"WR123","11","5 out of 5 stars","+33"
"361",11,"Le'Veon Bell",FA,"RB98","-","-","-94"
"362",11,"Kylin Hill",GB,"RB99","13","0 out of 5 stars","+60"
"363",11,"Peyton Barber",LV,"RB100","8","2 out of 5 stars","-"
"364",11,"Houston Texans",HOU,"DST29","10","2 out of 5 stars","-2"
"365",11,"Drew Sample",CIN,"TE46","10","2 out of 5 stars","+102"
"366",11,"Todd Gurley II",FA,"RB101","-","-","-128"
"367",12,"Chris Evans",CIN,"RB102","10","3 out of 5 stars","-21"
"368",12,"Duke Johnson Jr.",FA,"RB103","-","-","-"
"369",12,"Albert Okwuegbunam",DEN,"TE47","11","4 out of 5 stars","+65"
"370",12,"Evan McPherson",CIN,"K30","10","1 out of 5 stars","-102"
"371",12,"Ito Smith",FA,"RB104","-","-","-3"
"372",12,"Juwan Johnson",NO,"TE48","6","4 out of 5 stars","+3"
"373",12,"Mike Boone",DEN,"RB105","11","5 out of 5 stars","-39"
"374",12,"Chris Conley",HOU,"WR124","10","3 out of 5 stars","-9"
"375",12,"Adrian Peterson",FA,"RB106","-","-","+43"
"376",12,"Cincinnati Bengals",CIN,"DST30","10","3 out of 5 stars","+70"
"377",12,"Tylan Wallace",BAL,"WR125","8","2 out of 5 stars","+21"
"378",12,"Dan Bailey",FA,"K31","-","-","-"
"379",12,"Sam Sloman",PIT,"K32","7","2 out of 5 stars","-"
"380",12,"Las Vegas Raiders",LV,"DST31","8","4 out of 5 stars","-"
"381",12,"Tyler Johnson",TB,"WR126","9","2 out of 5 stars","+20"
"382",12,"Auden Tate",CIN,"WR127","10","2 out of 5 stars","-"
"383",12,"Detroit Lions",DET,"DST32","9","5 out of 5 stars","+7"
"384",12,"James O'Shaughnessy",JAC,"TE49","7","4 out of 5 stars","+55"
"385",12,"Dede Westbrook",MIN,"WR128","7","3 out of 5 stars","-"
"386",12,"Devin Duvernay",BAL,"WR129","8","2 out of 5 stars","+62"
"387",12,"Cameron Brate",TB,"TE50","9","3 out of 5 stars","-"
"388",12,"Royce Freeman",CAR,"RB107","13","2 out of 5 stars","-83"
"389",12,"Steven Sims Jr.",PIT,"WR130","7","2 out of 5 stars","-"
"390",12,"Nick Folk",NE,"K33","14","4 out of 5 stars","-145"
